district,mae,rmse
Phek,1302.103515625,1341.0282435504482
Rewa,1302.6085205078125,1701.0066137437561
Ranchi,1302.796875,1550.116044043155
Sambalpur,1305.55322265625,1476.8270887277224
Jhansi,1308.343017578125,1602.9432304358131
Bhandara,1308.809814453125,1521.5801819161552
Perambalur,1308.9326171875,1538.866303484484
Dimapur,1312.1243896484375,1398.4004254862052
Kulgam,1312.18505859375,1361.4345834449778
Kheda,1320.271484375,1469.285370511801
Malkangiri,1321.52294921875,1430.4874606231263
Srinagar,1322.405029296875,1425.1642010659684
Cuttack,1327.13232421875,1723.0129134745334
Ganderbal,1332.1005859375,1362.4304110669286
Goalpara,1332.32861328125,1452.9779764332286
North Goa,1333.066650390625,1451.4056118122185
Bongaigaon,1335.95849609375,1438.6793423136373
Sivaganga,1348.77197265625,1713.9831533594488
Mokokchung,1350.396484375,1361.8929840483063
East Garo Hills,1352.320556640625,1377.5784006727167
Faridabad,1356.2186279296875,1562.5919972916795
Nuapada,1358.212890625,1505.8103300216796
Marigaon,1359.670166015625,1485.436131242269
Bhagalpur,1359.809814453125,1701.2237507159368
Korba,1361.494384765625,1444.2469491053114
Supaul,1365.277587890625,1553.7616451695544
Barnala,1367.28173828125,1500.3542914925129
Thrissur,1378.078125,1580.098256438504
Udalguri,1383.2647705078125,1468.0008514983906
East Khasi Hills,1385.482666015625,1428.5800205098767
Bhavnagar,1390.4427490234375,1627.9357327609712
Gopalganj,1392.347412109375,1569.4299920671835
Panchkula,1392.381591796875,1474.4139513718662
Mamit,1393.111328125,1437.0164404069983
Khordha,1396.5184326171875,1736.0983555086964
Shimla,1398.18359375,1492.7628746723306
Ballia,1398.6759033203125,1737.290131210098
Hanumangarh,1401.062255859375,1638.5090784002389
Shivpuri,1407.505615234375,1599.895621595359
Sonitpur,1407.8951416015625,1518.280771135563
Jamui,1408.0045166015625,1736.9840960699669
Nalanda,1409.1348876953125,1578.684579008739
Kamrup,1414.1607666015625,1517.3664685895758
Solan,1416.9864501953125,1484.5867270051958
Nalbari,1428.240478515625,1474.2150453716038
Gajapati,1428.6083984375,1532.7437000359846
Subarnapur,1433.379150390625,1489.474403942545
West Garo Hills,1438.856201171875,1469.2365364365262
Tinsukia,1442.20654296875,1516.250061830172
Darrang,1447.1484375,1506.4506297917633
Ganganagar,1447.190673828125,1685.1698727428045
Dhamtari,1452.4468994140625,1619.355967661218
